time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,8,3,,
2025-03-03 00:00:00+00:00,9,5,31.0,5.0
2025-03-04 00:00:00+00:00,11,9,23.0,14.0
2025-03-05 00:00:00+00:00,14,7,13.0,5.0
2025-03-06 00:00:00+00:00,19,12,14.0,4.0
2025-03-07 00:00:00+00:00,9,4,1.0,1.0
2025-03-08 00:00:00+00:00,5,2,3.0,2.0
2025-03-09 00:00:00+00:00,2,2,1.0,1.0
2025-03-10 00:00:00+00:00,13,9,9.0,3.0
2025-03-11 00:00:00+00:00,22,16,46.0,11.0
2025-03-12 00:00:00+00:00,25,18,5.0,5.0
2025-03-13 00:00:00+00:00,10,8,4.0,3.0
2025-03-14 00:00:00+00:00,16,12,3.0,3.0
2025-03-15 00:00:00+00:00,5,4,11.0,4.0
