time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,2,2,9.0,8.0
2025-10-03 00:00:00+00:00,2,2,7.0,5.0
2025-10-04 00:00:00+00:00,4,4,,
2025-10-05 00:00:00+00:00,3,3,2.0,2.0
2025-10-06 00:00:00+00:00,27,16,10.0,4.0
2025-10-07 00:00:00+00:00,17,17,6.0,3.0
2025-10-08 00:00:00+00:00,3,3,5.0,2.0
2025-10-09 00:00:00+00:00,26,12,9.0,8.0
2025-10-10 00:00:00+00:00,6,6,26.0,5.0
2025-10-11 00:00:00+00:00,7,7,3.0,3.0
2025-10-12 00:00:00+00:00,5,4,6.0,3.0
2025-10-13 00:00:00+00:00,6,6,45.0,4.0
2025-10-14 00:00:00+00:00,28,15,48.0,7.0
2025-10-15 00:00:00+00:00,27,5,11.0,3.0
