time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,78,23,12.0,6.0
2025-11-12 00:00:00+00:00,44,11,4.0,4.0
2025-11-13 00:00:00+00:00,28,17,14.0,9.0
2025-11-14 00:00:00+00:00,10,8,8.0,6.0
2025-11-15 00:00:00+00:00,10,8,20.0,9.0
2025-11-16 00:00:00+00:00,3,3,,
2025-11-17 00:00:00+00:00,16,13,31.0,6.0
2025-11-18 00:00:00+00:00,14,13,11.0,6.0
2025-11-19 00:00:00+00:00,13,11,22.0,11.0
2025-11-20 00:00:00+00:00,18,16,30.0,10.0
2025-11-21 00:00:00+00:00,14,11,16.0,2.0
2025-11-22 00:00:00+00:00,10,10,2.0,2.0
2025-11-23 00:00:00+00:00,5,5,5.0,5.0
2025-11-24 00:00:00+00:00,4,3,120.0,4.0
