time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,6,6,26.0,5.0
2025-10-11 00:00:00+00:00,7,7,3.0,3.0
2025-10-12 00:00:00+00:00,5,4,6.0,3.0
2025-10-13 00:00:00+00:00,6,6,45.0,4.0
2025-10-14 00:00:00+00:00,28,15,48.0,7.0
2025-10-15 00:00:00+00:00,33,9,11.0,3.0
2025-10-16 00:00:00+00:00,2,2,26.0,6.0
2025-10-17 00:00:00+00:00,45,20,19.0,6.0
2025-10-18 00:00:00+00:00,10,8,14.0,6.0
2025-10-19 00:00:00+00:00,1,1,,
2025-10-20 00:00:00+00:00,19,8,19.0,4.0
2025-10-21 00:00:00+00:00,35,17,6.0,3.0
2025-10-22 00:00:00+00:00,206,37,25.0,9.0
2025-10-23 00:00:00+00:00,7,5,38.0,12.0
