time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-29 00:00:00+00:00,117,18,41,11
2026-01-30 00:00:00+00:00,133,17,102,10
2026-01-31 00:00:00+00:00,63,9,2,1
2026-02-01 00:00:00+00:00,8,8,1,1
2026-02-02 00:00:00+00:00,25,8,33,13
2026-02-03 00:00:00+00:00,184,30,58,21
2026-02-04 00:00:00+00:00,193,33,50,12
2026-02-05 00:00:00+00:00,101,29,23,8
2026-02-06 00:00:00+00:00,280,73,102,24
2026-02-07 00:00:00+00:00,42,15,4,4
2026-02-08 00:00:00+00:00,15,11,3,2
2026-02-09 00:00:00+00:00,2193,60,45,21
2026-02-10 00:00:00+00:00,149,43,59,13
2026-02-11 00:00:00+00:00,252,54,8,7
