time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,9,9,46,13
2025-07-03 00:00:00+00:00,22,11,22,4
2025-07-04 00:00:00+00:00,6,6,3,3
2025-07-05 00:00:00+00:00,5,5,6,3
2025-07-06 00:00:00+00:00,8,8,5,5
2025-07-07 00:00:00+00:00,6,6,23,9
2025-07-08 00:00:00+00:00,11,10,13,3
2025-07-09 00:00:00+00:00,19,17,8,3
2025-07-10 00:00:00+00:00,46,15,14,5
2025-07-11 00:00:00+00:00,12,6,7,3
2025-07-12 00:00:00+00:00,6,6,5,5
2025-07-13 00:00:00+00:00,36,5,2,2
2025-07-14 00:00:00+00:00,3,3,35,21
2025-07-15 00:00:00+00:00,3,3,9,9
