time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-24 00:00:00+00:00,6,5,120,4
2025-11-25 00:00:00+00:00,2,2,36,7
2025-11-26 00:00:00+00:00,2,2,18,3
2025-11-27 00:00:00+00:00,3,3,1,1
2025-11-28 00:00:00+00:00,1,1,2,2
2025-11-29 00:00:00+00:00,2,2,1,1
2025-11-30 00:00:00+00:00,2,2,3,3
2025-12-01 00:00:00+00:00,73,29,19,3
2025-12-02 00:00:00+00:00,60,33,107,8
2025-12-03 00:00:00+00:00,185,62,26,3
2025-12-04 00:00:00+00:00,26,19,9,4
2025-12-05 00:00:00+00:00,33,24,70,5
2025-12-06 00:00:00+00:00,15,9,3,2
2025-12-07 00:00:00+00:00,2,2,6,2
