time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,23,13,10.0,4.0
2025-11-07 00:00:00+00:00,26,15,1.0,1.0
2025-11-08 00:00:00+00:00,32,9,23.0,5.0
2025-11-09 00:00:00+00:00,18,7,11.0,8.0
2025-11-10 00:00:00+00:00,24,8,29.0,8.0
2025-11-11 00:00:00+00:00,78,23,12.0,6.0
2025-11-12 00:00:00+00:00,44,11,4.0,4.0
2025-11-13 00:00:00+00:00,28,17,14.0,9.0
2025-11-14 00:00:00+00:00,10,8,8.0,6.0
2025-11-15 00:00:00+00:00,10,8,20.0,9.0
2025-11-16 00:00:00+00:00,3,3,,
2025-11-17 00:00:00+00:00,16,13,31.0,6.0
2025-11-18 00:00:00+00:00,14,13,11.0,6.0
2025-11-19 00:00:00+00:00,11,9,20.0,10.0
