time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,8,5,35,6
2026-03-18 00:00:00+00:00,2,2,7,4
2026-03-19 00:00:00+00:00,52,10,39,9
2026-03-20 00:00:00+00:00,16,8,15,5
2026-03-21 00:00:00+00:00,13,5,8,8
2026-03-22 00:00:00+00:00,17,8,3,3
2026-03-23 00:00:00+00:00,86,20,81,7
2026-03-24 00:00:00+00:00,80,17,87,20
2026-03-25 00:00:00+00:00,12,8,20,11
2026-03-26 00:00:00+00:00,74,17,90,11
2026-03-27 00:00:00+00:00,37,14,26,6
2026-03-28 00:00:00+00:00,22,14,1,1
2026-03-29 00:00:00+00:00,22,9,13,3
2026-03-30 00:00:00+00:00,19,12,17,7
